Date,Price,Open,High,Low,Vol.,Change %
02-07-2019,15.238,15.16,15.365,15.07,66.80K,0.30%
01-07-2019,15.193,15.315,15.345,15.155,71.31K,-0.66%
27-06-2019,15.294,15.34,15.355,15.205,57.10K,-0.27%
26-06-2019,15.335,15.36,15.375,15.195,74.82K,-0.05%
25-06-2019,15.342,15.48,15.535,15.315,93.66K,-0.49%
24-06-2019,15.418,15.4,15.485,15.33,142.47K,-0.71%
20-06-2019,15.529,15.19,15.515,15.16,143.03K,3.57%
19-06-2019,14.994,15,15.205,14.945,203.97K,-0.23%
18-06-2019,15.029,14.86,15.06,14.86,88.34K,1.12%
17-06-2019,14.863,14.885,14.905,14.795,106.33K,-0.42%
13-06-2019,14.926,14.78,14.905,14.78,115.81K,0.95%
12-06-2019,14.786,14.8,14.87,14.785,76.05K,0.08%
11-06-2019,14.774,14.715,14.81,14.67,71.98K,0.68%
10-06-2019,14.674,14.855,14.855,14.665,79.80K,-1.79%
06-06-2019,14.941,14.97,14.995,14.915,104.80K,0.78%
05-06-2019,14.826,14.89,14.97,14.8,80.74K,0.12%
04-06-2019,14.808,14.785,14.805,14.745,132.02K,0.19%
03-06-2019,14.78,14.68,14.855,14.68,96.39K,1.72%
30-05-2019,14.53,14.475,14.63,14.42,88.36K,0.83%
29-05-2019,14.411,14.325,14.45,14.32,58.64K,0.64%
28-05-2019,14.32,14.545,14.61,14.265,72.67K,-2.01%
23-05-2019,14.613,14.42,14.635,14.4,40.68K,1.14%
22-05-2019,14.449,14.42,14.48,14.37,68.45K,0.27%
21-05-2019,14.41,14.435,14.46,14.35,36.91K,-0.24%
20-05-2019,14.445,14.395,14.46,14.355,47.47K,-0.65%
16-05-2019,14.539,14.79,14.825,14.515,63.19K,-1.84%
15-05-2019,14.812,14.8,14.865,14.765,69.18K,0.00%
14-05-2019,14.812,14.78,14.865,14.745,43.23K,0.24%
13-05-2019,14.777,14.775,14.815,14.615,47.64K,0.03%
09-05-2019,14.773,14.845,14.875,14.705,45.82K,-0.60%
08-05-2019,14.862,14.92,14.99,14.835,59.56K,-0.43%
07-05-2019,14.926,14.91,14.955,14.81,53.11K,-0.01%
06-05-2019,14.927,14.96,14.99,14.77,55.91K,2.12%
